"list_name","name","label::English (en)"
"cname","157","Sugar beet"
"cname","156","Sugar cane"
"cname","267","Sunflower seed"
"cname","531","Sweet cherries"
"cname","122","Sweet potatoes"
"cname","305","Tallowtree seed"
"cname","495","Tangerines, mandarins, clementines, satsumas"
"cname","136","Taro (cocoyam)"
"cname","667","Tea"
"cname","388","Tomatoes"
"cname","97","Triticale"
"cname","603","Tropical fresh fruit"
"cname","275","Tung nuts"
"cname","826","Unmanufactured tobacco"
"cname","692","Vanilla"
"cname","205","Vetches"
"cname","222","Walnuts, with shell"
"cname","567","Watermelons"
"cname","15","Wheat"
"cname","137","Yams"
"cname","135","Yautia (cocoyam)"
"cname","77771","Other 1"
"cname","800","Other agave fibres"
"cname","782","Other bastfibres"
"cname","108","Other cereals"
"cname","821","Other fibre crops"
"cname","339","Other oilseeds"
"cname","149","Other roots and tubers"
"cname","161","Other sugar crops"
"cname","777770","Other Fruits"
"cname","777771","Other Vegetables"
"enumerator","name","label"
"enumerator","77","Name not on the list / other"
,,
"cname","teff","Teff (Eragrostis teff)"
"cname","enset","Enset (Enset ventricusum)"
"cname","haricot_bean","Haricot Bean"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
